CEDULA,NOMBRES,APELLIDOS,MAILPERSONAL,CELULAR,OBSERVACION
9999999999,TIC PRUEBA,PRUEBA TIC,email01@gmail.com,3199999901,prueba
9999999999,TIC PRUEBA,PRUEBA TIC,email02@gmail.com,3199999902,prueba
9999999999,TIC PRUEBA,PRUEBA TIC,email03@gmail.com,3199999903,prueba
9999999999,TIC PRUEBA,PRUEBA TIC,email04@gmail.com,3199999904,prueba
9999999999,TIC PRUEBA,PRUEBA TIC,email05@gmail.com,3199999905,prueba
9999999999,TIC PRUEBA,PRUEBA TIC,email06@gmail.com,3199999906,prueba
9999999999,TIC PRUEBA,PRUEBA TIC,email07@gmail.com,3199999907,prueba
9999999999,TIC PRUEBA,PRUEBA TIC,email08@gmail.com,3199999908,prueba
9999999999,TIC PRUEBA,PRUEBA TIC,email09@gmail.com,3199999909,prueba
9999999999,TIC PRUEBA,PRUEBA TIC,email10@gmail.com,3199999910,prueba
9999999999,TIC PRUEBA,PRUEBA TIC,email11@gmail.com,3199999911,prueba
9999999999,TIC PRUEBA,PRUEBA TIC,email12@gmail.com,3199999912,prueba
